Dose [cGy];Volume [%]
397.0;70.15905000000001
398.0;70.1297
399.0;70.10034999999999
400.0;70.071
401.0;70.03479999999999
402.0;69.9986
403.0;69.9624
404.0;69.9262
405.0;69.89
406.0;69.8538
407.0;69.8176
408.0;69.7814
409.0;69.74520000000001
410.0;69.709
411.0;69.6728
412.0;69.6366
413.0;69.6004
414.0;69.5642
415.0;69.52799999999999
416.0;69.4918
417.0;69.4556
418.0;69.4194
419.0;69.3832
420.0;69.34700000000001
421.0;69.31777500000001
422.0;69.28855
423.0;69.25932499999999
424.0;69.2301
425.0;69.200875
426.0;69.17165
427.0;69.142425
428.0;69.1132
429.0;69.08397500000001
430.0;69.05475
431.0;69.025525
432.0;68.9963
433.0;68.967075
434.0;68.93785
435.0;68.908625
436.0;68.8794
437.0;68.85017500000001
438.0;68.82095
439.0;68.791725
440.0;68.7625
441.0;68.734025
442.0;68.70555
443.0;68.677075
444.0;68.6486
445.0;68.620125
446.0;68.59165
447.0;68.563175
448.0;68.5347
449.0;68.506225
450.0;68.47775
451.0;68.449275
452.0;68.4208
453.0;68.392325
454.0;42.4238
455.0;42.41875
456.0;42.413700000000006
457.0;42.40865
458.0;42.403600000000004
459.0;42.39855
460.0;68.193
461.0;42.386625
462.0;42.37975
463.0;42.372875
464.0;42.366
465.0;42.359125000000006
466.0;42.352250000000005
467.0;42.345375000000004
468.0;42.3385
470.0;67.941
480.0;67.689
490.0;67.38325
500.0;67.0775
510.0;66.8005
520.0;66.5235
530.0;66.213
540.0;65.9025
550.0;65.6225
560.0;65.3425
570.0;65.14375
580.0;64.945
590.0;64.773
600.0;64.601
610.0;64.40325
620.0;64.2055
630.0;64.08575
640.0;63.966
650.0;63.7455
660.0;63.525
670.0;63.346500000000006
680.0;63.168000000000006
690.0;62.979
700.0;62.78999999999999
710.0;62.6855
720.0;62.581
730.0;62.408500000000004
740.0;62.236000000000004
750.0;62.06925
760.0;61.902499999999996
770.0;61.73524999999999
780.0;61.568
790.0;61.37299999999999
800.0;61.178
810.0;60.984750000000005
820.0;60.7915
830.0;60.664500000000004
840.0;60.5375
850.0;60.383250000000004
860.0;60.229
870.0;60.058499999999995
880.0;59.888000000000005
890.0;59.78325
900.0;59.6785
910.0;59.49849999999999
920.0;59.3185
930.0;59.192
940.0;59.0655
950.0;58.91525
960.0;58.765
970.0;58.63775
980.0;58.5105
990.0;58.38075
1000.0;58.251000000000005
1010.0;58.091499999999996
1020.0;57.932
1030.0;57.75175
1040.0;57.5715
1050.0;57.35900000000001
1060.0;57.1465
1070.0;56.926
1080.0;56.7055
1090.0;56.5
1100.0;56.2945
1110.0;56.08375
1120.0;55.873000000000005
1130.0;55.67125
1140.0;55.4695
1150.0;55.23025
1160.0;54.991
1170.0;54.76325
1180.0;54.5355
1190.0;54.31975
1200.0;54.104
1210.0;53.928749999999994
1220.0;53.753499999999995
1230.0;53.631
1240.0;53.5085
1250.0;53.27049999999999
1260.0;53.0325
1270.0;52.89575
1280.0;52.759
1290.0;52.58625000000001
1300.0;52.4135
1310.0;52.23525
1320.0;52.057
1330.0;51.9215
1340.0;51.786
1350.0;51.616
1360.0;51.446000000000005
1370.0;51.258250000000004
1380.0;51.070499999999996
1390.0;50.958
1400.0;50.8455
1410.0;50.69
1420.0;50.534499999999994
1430.0;50.402249999999995
1440.0;50.27
1450.0;50.17425
1460.0;50.078500000000005
1470.0;49.944
1480.0;49.8095
1490.0;49.679500000000004
1500.0;49.549499999999995
1510.0;49.35575
1520.0;49.162000000000006
1530.0;49.017250000000004
1540.0;48.8725
1550.0;48.72274999999999
1560.0;48.573
1570.0;48.4505
1580.0;48.328
1590.0;48.217749999999995
1600.0;48.1075
1610.0;47.93025
1620.0;47.753
1630.0;47.6
1640.0;47.447
1650.0;47.34625
1660.0;47.24549999999999
1670.0;47.18
1680.0;47.1145
1690.0;47.05200000000001
1700.0;46.9895
1710.0;46.9015
1720.0;46.813500000000005
1730.0;46.76625
1740.0;46.719
1750.0;46.605999999999995
1760.0;46.492999999999995
1770.0;46.3885
1780.0;46.284
1790.0;46.1565
1800.0;46.028999999999996
1810.0;45.8945
1820.0;45.76
1830.0;45.62325
1840.0;45.4865
1850.0;45.429500000000004
1860.0;45.3725
1870.0;45.257000000000005
1880.0;45.1415
1890.0;44.998999999999995
1900.0;44.8565
1910.0;44.783
1920.0;44.7095
1930.0;44.58025
1940.0;44.451
1950.0;44.3275
1960.0;44.204
1970.0;44.0835
1980.0;43.963
1990.0;43.86025
2000.0;43.7575
2010.0;43.647999999999996
2020.0;43.5385
2030.0;43.43425
2040.0;43.33
2050.0;43.253499999999995
2060.0;43.177
2070.0;43.06925
2080.0;42.9615
2090.0;42.884249999999994
2100.0;42.807
2110.0;42.729749999999996
2120.0;42.6525
