Dose [cGy],Volume [%]
3020,33.3675
3030,33.28125
3040,33.195
3050,33.0265
3060,32.858
3070,32.796
3080,32.734
3090,32.58425
3100,32.4345
3110,32.27925
3120,32.124
3130,32.01775
3140,31.9115
3150,31.77625
3160,31.641
3170,31.555
3180,31.469
3190,31.397
3200,31.325
3210,31.155
3220,30.985
3230,30.79625
3240,30.6075
3250,30.497
3260,30.3865
3270,30.2955
3280,30.2045
3290,30.042
3300,29.8795
3310,29.7635
3320,29.6475
3330,29.551
3340,29.4545
3350,29.29875
3360,29.143
3370,28.998
3380,28.853
3390,28.73825
3400,28.6235
3410,28.49875
3420,28.374
3430,28.26275
3440,28.1515
3450,28.009
3460,27.8665
3470,27.743
3480,27.6195
3490,27.4915
3500,27.3635
3510,27.309
3520,27.2545
3530,27.17075
3540,27.087
3550,26.9455
3560,26.804
3570,26.662
3580,26.52
3590,26.41475
3600,26.3095
3610,26.209
3620,26.1085
3630,26.00775
3640,25.907
3650,25.82575
3660,25.7445
3670,25.6595
3680,25.5745
3690,25.49075
3700,25.407
3710,25.24175
3720,25.0765
3730,25.0145
3740,24.9525
3750,24.861
3760,24.7695
3770,24.651
3780,24.5325
3790,24.422
3800,24.3115
3810,24.2295
3820,24.1475
3830,24.03175
3840,23.916
3850,23.8215
3860,23.727
3870,23.62325
3880,23.5195
3890,23.41525
3900,23.311
3910,23.20575
3920,23.1005
3930,22.9885
3940,22.8765
3950,22.7725
3960,22.6685
3970,22.551
3980,22.4335
3990,22.26
4000,22.0865
4010,21.87625
4020,21.666
4030,21.48925
4040,21.3125
4050,21.1705
4060,21.0285
4070,20.87775
4080,20.727
4090,20.59575
4100,20.4645
4110,20.37775
4120,20.291
4130,20.1665
4140,20.042
4150,19.94
4160,19.838
4170,19.724
4180,19.61
4190,19.56775
4200,19.5255
4210,19.44825
4220,19.371
4230,19.3135
4240,19.256
4250,19.1965
4260,19.137
4270,19.05575
4280,18.9745
4290,18.9285
4300,18.8825
4310,18.822
4320,18.7615
4330,18.72125
4340,18.681
4350,18.5915
4360,18.502
4370,18.407
4380,18.312
4390,18.26625
4400,18.2205
4410,18.121
4420,18.0215
4430,17.93425
4440,17.847
4450,17.81225
4460,17.7775
4470,17.71225
4480,17.647
4490,17.58775
4500,17.5285
4510,17.49275
4520,17.457
4530,17.42225
4540,17.3875
4550,17.342
4560,17.2965
4570,17.2125
4580,17.1285
4590,17.07725
4600,17.026
4610,16.993
4620,16.96
4630,16.89325
4640,16.8265
4650,16.782
4660,16.7375
4670,16.682
4680,16.6265
4690,16.53125
4700,16.436
4710,16.389
4720,16.342
4730,16.313
4740,16.284
4750,16.2595
4760,16.235
4770,16.158
4780,16.081
4790,16.03925
4800,15.9975
4810,15.94
4820,15.8825
4830,15.85825
4840,15.834
4850,15.77325
4860,15.7125
4870,15.6945
4880,15.6765
4890,15.6385
4900,15.6005
4910,15.5375
4920,15.4745
4930,15.40025
4940,15.326
4950,15.269
4960,15.212
4970,15.1605
4980,15.109
4990,15.04675
5000,14.9845
5010,14.92025
5020,14.856
5030,14.843
5040,14.83
5050,14.791
5060,14.752
5070,14.63575
5080,14.5195
5090,14.47725
5100,14.435
5110,14.38275
5120,14.3305
5130,14.27525
5140,14.22
5150,14.15475
5160,14.0895
5170,14.043
5180,13.9965
5190,13.93925
5200,13.882
5210,13.85
5220,13.818
5230,13.79375
5240,13.7695
5250,13.69775
5260,13.626
5270,13.59375
5280,13.5615
5290,13.516
5300,13.4705
5310,13.43875
5320,13.407
5330,13.339
5340,13.271
5350,13.202
5360,13.133
5370,13.09225
5380,13.0515
5390,13.022
5400,12.9925
5410,12.902
5420,12.8115
5430,12.739
5440,12.6665
5450,12.59925
5460,12.532
5470,12.459
5480,12.386
5490,12.32925
5500,12.2725
5510,12.20975
5520,12.147
5530,12.10075
5540,12.0545
5550,12.01575
5560,11.977
5570,11.90525
5580,11.8335
5590,11.71575
5600,11.598
5610,11.568
5620,11.538
5630,11.4605
5640,11.383
5650,11.2825
5660,11.182
5670,11.13075
5680,11.0795
5690,11.0435
5700,11.0075
5710,10.98075
5720,10.954
5730,10.933
5740,10.912
5750,10.879
5760,10.846
5770,10.77875
5780,10.7115
5790,10.689
5800,10.6665
5810,10.608
5820,10.5495
5830,10.49375
5840,10.438
5850,10.38975
5860,10.3415
5870,10.2695
5880,10.1975
5890,10.16
5900,10.1225
5910,10.07925
5920,10.036
5930,9.97225
5940,9.9085
5950,9.87775
5960,9.847
5970,9.81125
5980,9.7755
5990,9.749
6000,9.7225
6010,9.6545
6020,9.5865
6030,9.54975
6040,9.513
6050,9.46025
6060,9.4075
6070,9.3855
6080,9.3635
6090,9.2925
6100,9.2215
6110,9.16275
6120,9.104
6130,9.055
6140,9.006
6150,8.9585
6160,8.911
6170,8.85725
6180,8.8035
6190,8.68975
6200,8.576
6210,8.5235
6220,8.471
6230,8.393
6240,8.315
6250,8.23575
6260,8.1565
6270,8.11875
6280,8.081
6290,8.04075
6300,8.0005
6310,7.9355
6320,7.8705
6330,7.8165
6340,7.7625
6350,7.699
6360,7.6355
6370,7.56825
6380,7.501
6390,7.457
6400,7.413
6410,7.3545
6420,7.296
6430,7.251
6440,7.206
6450,7.162
6460,7.118
6470,7.08075
6480,7.0435
6490,6.97325
6500,6.903
6510,6.81425
6520,6.7255
6530,6.686
6540,6.6465
6550,6.58925
6560,6.532
6570,6.4835
6580,6.435
6590,6.35475
6600,6.2745
6610,6.18275
6620,6.091
6630,6.0235
6640,5.956
6650,5.882
6660,5.808
6670,5.65775
6680,5.5075
6690,5.3775
6700,5.2475
6710,5.10875
6720,4.97
6730,4.84175
6740,4.7135
6750,4.60475
6760,4.496
6770,4.3175
6780,4.139
6790,4.049
6800,3.959
6810,3.86125
6820,3.7635
6830,3.65225
6840,3.541
6850,3.37675
6860,3.2125
6870,3.07425
6880,2.936
6890,2.751
6900,2.566
6910,2.37875
6920,2.1915
6930,2.112
6940,2.0325
6950,1.95375
6960,1.875
6970,1.78375
6980,1.6925
6990,1.632
7000,1.5715
7010,1.53275
7020,1.494
7030,1.43575
7040,1.3775
7050,1.3115
7060,1.2455
7070,1.21
7080,1.1745
7090,1.12375
7100,1.073
7110,1.01825
7120,0.9635
7130,0.927
7140,0.8905
7150,0.744
7160,0.5975
7170,0.49825
7180,0.399
7190,0.376
7200,0.353
7210,0.26425
7220,0.1755
7230,0.1545
7240,0.1335
7250,0.1055
7260,0.0775
7270,0.0555
7280,0.0335
7290,0.02525
7300,0.017
7310,0.00975
7320,0.0025
7330,0.0025
7340,0.0025
